luas_tanah;luas_bangunan;jml_kamar;umur;jarak;harga;;;;
27.220.801.836.397.500;9.531.537.184.203.800;2;17.814.074.424.288.400;19.404.817.505.912.700;200.00.00;;;;
2.852.297.732.218.970;11.157.989.735.596.400;4;0.9842887238582532;5.984.516.368.837.960;2.730.592.334.434.320;;;;
24.239.345.826.134.700;9.898.215.699.337.410;2;1.908.127.406.339.900;6.947.952.756.199.790;200.00.00;;;;
6.143.860.703.484.280;31.844.625.521.969.800;1;1.093.062.715.284.690;16.893.471.321.742.600;3.925.406.032.891.380;;;;
98.551.142.146.987;15.954.634.589.169.000;2;8.857.254.074.689.260;19.540.742.021.186.400;4.609.442.537.165.600;;;;
6.414.313.355.903.040;51.401.790.328.456.600;1;26.384.897.121.843.700;9.827.650.207.370.440;200.00.00;;;;
3.363.846.850.687.010;3.885.679.731.521.000;3;13.800.071.867.423.900;8.212.718.524.581.730;7.251.345.462.981.610;;;;
191.460.191.484.347;3.570.007.774.364.670;4;28.515.913.659.807.800;7.015.148.438.264.370;3.342.804.129.554.540;;;;
27.885.681.102.411.600;3.732.683.447.822.280;1;2.480.240.304.078.740;6.428.292.286.850.520;32.400.167.375.819.500;;;;
45.840.491.326.674.100;39.811.589.437.918.100;2;1.429.237.723.095.190;27.361.079.923.477.700;7.623.062.053.304.770;;;;
16.218.150.311.699.300;943.412.422.112.103;4;218.024.767.250.459;6.981.690.757.681.320;20.430.287.102.979.800;;;;
2.346.723.153.660.330;17.660.954.699.398.300;3;23.217.186.653.119.900;18.179.956.515.977.000;200.00.00;;;;
3.899.980.123.443.710;3.105.482.360.105.130;4;10.578.078.177.865.700;1.583.831.340.924.420;5.583.157.442.710.700;;;;
1.529.591.744.712.300;2.875.276.286.799.030;1;247.436.356.883.336;8.566.328.085.202.220;200.00.00;;;;
8.464.095.942.295.680;8.694.148.534.574.630;3;15.469.782.175.693.600;943.417.281.407.832;200.00.00;;;;
18.038.815.381.119.500;3.318.582.562.465.280;2;13.898.809.598.183.900;179.782.971.425.525;4.659.848.740.537.550;;;;
12.254.957.926.430.100;11.304.301.157.956.400;3;13.620.984.440.607.700;13.503.044.693.363.100;37.461.608.718.432.100;;;;
46.836.394.355.415.700;11.281.251.748.437.000;3;8.700.875.809.467.170;1.153.122.963.500.270;48.593.513.157.097.100;;;;
41.365.417.080.398.700;22.868.053.647.056.300;5;27.930.299.126.558.900;18.920.321.636.264.400;200.00.00;;;;
33.503.169.042.969.000;24.938.777.589.143.000;3;11.754.718.898.505;5.505.744.853.576.510;2.539.047.455.746.210;;;;
44.215.726.558.447.200;24.463.189.689.999.000;3;1.640.101.561.670.300;3.044.669.510.437.310;5.545.363.223.956.530;;;;
4.116.524.346.046.010;63.850.129.837.169.300;4;15.960.650.369.527.500;15.594.435.389.236.700;42.986.312.142.829.100;;;;
13.395.652.649.871.600;35.466.051.917.324.000;2;177.129.326.946.808;10.509.069.001.467.600;2.602.102.052.854.210;;;;
45.165.154.932.049;12.827.201.575.782.100;4;18.399.286.692.984.700;9.241.640.754.342.330;600.342.835.143.017;;;;
2.927.040.088.620.420;7.792.052.087.463.750;4;10.865.287.643.961.800;5.740.558.513.972.090;200.00.00;;;;
41.334.806.982.382.800;3.588.367.895.515.210;1;21.693.848.216.476.600;11.401.958.307.384.000;379.989.766.841.249;;;;
45.324.108.496.557.100;38.359.105.434.500.800;4;6.016.807.532.189.480;62.133.074.988.491.600;9.081.972.701.300.920;;;;
19.310.156.373.733.800;3.489.872.183.882.160;5;6.107.351.326.390.810;18.130.077.100.454.200;43.013.430.789.273.000;;;;
9.952.336.603.745.450;32.952.094.764.820.400;5;0.30271820067074184;5.088.885.114.930.660;6.866.713.999.520.180;;;;
15.257.082.314.387.300;27.243.953.283.643.800;1;13.124.457.798.246.200;17.802.747.858.659.300;200.00.00;;;;
24.219.850.488.181.500;23.381.722.712.538.100;2;2.648.203.142.020.260;11.628.703.088.819.700;200.00.00;;;;
4.181.066.446.651.210;6.218.510.116.722.170;2;15.570.283.076.192.700;16.741.274.544.009.500;3.749.169.185.581.330;;;;
43.732.876.246.535.400;1.811.276.888.361.580;4;57.335.612.848.800.700;14.544.073.921.358.100;28.936.266.465.241.300;;;;
53.128.458.739.035.800;16.789.475.129.455.600;4;9.302.536.150.282.650;14.237.207.117.298.200;200.00.00;;;;
2.798.362.861.599.040;1.261.088.999.913.200;4;21.951.742.096.926.300;7.162.570.346.206.050;2.442.640.653.693.520;;;;
23.783.495.141.695.000;2.976.654.420.647.760;2;19.219.067.784.077.500;54.440.416.979.718.600;200.00.00;;;;
1.499.485.147.118.280;2.134.740.219.791.450;3;12.478.317.137.455.600;5.006.838.325.934.970;4.344.445.006.278.110;;;;
10.393.941.530.015.700;59.987.099.885.829.700;5;22.772.068.177.751.200;17.286.641.484.132.100;200.00.00;;;;
2.019.268.271.316.320;11.146.778.472.143.000;3;1.828.893.034.970.700;1.658.810.958.492.130;200.00.00;;;;
4.743.093.667.606.330;2.828.057.425.540.500;3;2.688.122.398.971.650;9.370.897.032.233.830;3.800.976.272.774.880;;;;
19.544.131.940.933.900;5.816.841.801.141.100;2;2.454.080.247.416.070;35.156.876.564.326.300;2.339.508.015.477.310;;;;
28.345.577.978.451.400;34.494.655.819.804.400;3;7.584.408.182.676.010;8.262.792.787.571.700;763.550.914.458.157;;;;
36.635.853.150.283.000;2.132.042.149.951.700;1;8.143.157.329.026.000;12.767.525.628.601.300;200.00.00;;;;
21.363.332.107.068.200;20.781.703.361.085.900;4;3.760.694.273.771.560;9.633.659.935.119.100;7.097.334.072.515.260;;;;
4.873.019.372.244.320;24.919.088.032.402.100;1;10.108.941.771.523.600;15.823.596.101.176.900;3.079.251.553.181.130;;;;
4.831.012.827.239.500;3.351.319.573.923.050;5;2.998.631.756.157.280;19.954.833.622.776.300;6.964.400.983.014.270;;;;
16.330.203.312.141.300;15.868.940.692.381.100;4;1.217.253.505.845.180;46.315.096.805.290.400;2.190.333.221.267.300;;;;
2.737.618.276.515.730;28.086.597.644.685.300;3;6.614.653.040.673.190;9.733.365.573.531.870;40.555.706.818.703.300;;;;
18.539.523.941.754.600;2.393.208.266.784.420;5;2.287.448.653.426.650;9.188.694.136.495.610;200.00.00;;;;
17.817.822.246.986.000;1.288.004.599.626.850;4;1.627.413.010.387.960;6.785.358.122.230.060;200.00.00;;;;
6.659.912.630.953.970;35.509.309.495.140.800;3;4.488.043.485.808.570;47.638.148.176.855.000;8.489.382.574.660.300;;;;
3.243.039.502.909.530;3.250.476.279.945.630;1;11.420.690.434.825.900;22.481.502.133.035.200;5.517.398.474.881.800;;;;
2.762.055.604.529.870;27.362.717.882.361.700;4;12.434.091.466.180.200;1.785.526.702.725.020;25.281.127.815.182.500;;;;
7.316.543.806.249.520;3.447.152.397.648.690;3;2.261.489.101.707.650;8.977.125.256.040.030;22.946.062.684.856;;;;
17.539.090.890.647.500;3.508.988.543.551.260;1;0.6201410667571339;1.044.101.485.150.090;3.075.512.598.155.860;;;;
4.587.196.486.849.940;29.209.430.138.456.200;5;8.070.589.403.949.310;184.218.989.158.174;7.836.555.383.308.670;;;;
1.578.028.508.001.370;33.969.493.149.455.800;5;15.527.889.039.465.600;1.574.951.907.280.300;200.00.00;;;;
11.520.269.244.105.000;28.806.444.081.763.400;5;80.654.022.735.853;34.795.240.182.265;37.776.604.546.917.400;;;;
2.702.537.421.249.030;2.816.520.855.513.110;5;18.853.021.422.569.900;11.742.979.384.547.100;5.024.764.457.695.240;;;;
4.935.427.043.497.700;2.588.862.099.396.180;2;14.456.024.378.238.400;9.402.793.253.871.620;5.180.627.168.313.200;;;;
15.892.487.218.017.500;30.850.515.663.632.700;4;10.851.307.645.787.400;1.614.701.037.899.640;36.702.987.290.321.200;;;;
3.524.609.963.326.450;8.868.388.895.843.720;4;28.476.258.806.115.300;14.760.418.404.627.000;23.814.387.301.936.600;;;;
3.927.288.268.979.220;35.592.218.090.360.300;2;18.964.784.975.593.700;14.117.708.716.310.300;5.900.741.218.555.110;;;;
15.693.689.479.657.900;35.258.210.526.573.500;3;38.982.411.680.382.300;7.470.351.874.118.040;5.314.508.155.971.600;;;;
3.776.973.568.753.360;4.082.149.472.278.680;3;16.802.750.923.301.800;16.294.310.877.585.800;3.440.256.549.889.390;;;;
21.550.240.972.366.300;3.355.521.977.089.620;5;2.342.195.559.602.700;19.954.346.163.023.600;3.923.651.478.865.070;;;;
33.453.762.376.711.000;7.768.185.096.517.470;1;2.125.469.092.478.390;4.032.873.127.211.170;200.00.00;;;;
33.508.836.984.240.200;1.539.939.760.758.820;3;51.626.768.788.577.800;7.376.842.186.580.320;38.843.765.939.758.400;;;;
2.910.986.078.336.410;3.050.980.548.278.940;1;29.172.599.971.203.100;24.593.413.803.163.400;312.058.131.049.546;;;;
9.063.039.652.448.370;8.948.116.153.787.400;4;1.346.440.937.239.810;546.489.127.315.914;200.00.00;;;;
42.588.612.301.515.700;332.647.798.924.053;1;4.770.750.112.207.830;16.772.868.676.960.400;27.103.107.854.771.600;;;;
19.435.102.923.728.100;3.378.896.458.443.640;4;5.405.872.623.844.430;19.016.779.218.011.500;42.696.081.195.676.800;;;;
1.339.333.296.799.340;2.177.630.614.915.090;2;2.947.049.765.672.410;67.874.447.597.096.100;21.250.397.509.334.700;;;;
6.834.881.369.964.370;3.236.277.253.522.840;2;2.410.554.325.304.800;6.025.800.275.787.920;200.00.00;;;;
31.590.182.443.470.800;13.620.410.927.471.700;5;36.609.148.296.554.500;6.317.960.392.682.110;4.341.674.861.491.480;;;;
3.549.039.628.290.270;25.826.295.979.902.400;3;3.753.757.714.252.400;6.276.662.659.666.030;5.392.325.191.074.370;;;;
5.746.452.301.753.520;39.303.888.587.014.600;5;25.514.148.442.825.100;16.826.734.615.334.800;571.338.621.118.837;;;;
28.044.187.623.467.600;26.377.100.499.616.700;4;1.033.812.253.342.670;18.611.410.580.291.000;3.586.752.969.578.800;;;;
15.192.309.883.907.200;12.612.732.499.373.900;5;0.9257371292421734;506.026.468.983.624;3.166.974.228.853.390;;;;
34.032.775.568.425.200;26.458.211.014.685.600;1;15.568.589.855.523.200;8.980.077.407.546.690;39.798.731.108.808.400;;;;
12.846.489.305.224.600;22.979.459.049.486.600;4;4.265.113.401.116.860;1.184.050.772.078.380;997.946.451.042.451;;;;
36.092.198.214.610.900;31.854.279.620.592.300;2;6.401.800.439.270.680;17.301.146.727.386.000;4.933.657.225.918.150;;;;
22.403.090.583.524.100;695.828.363.659.746;3;19.954.385.827.152.100;14.891.989.544.643.400;200.00.00;;;;
47.152.849.493.153.000;31.158.032.392.575.000;4;4.719.788.400.054.840;1.898.836.466.830.030;42.294.324.269.613;;;;
11.188.442.486.569.600;2.302.686.341.101.600;4;35.662.317.353.121.500;15.850.694.104.731.500;200.00.00;;;;
20.347.985.797.261.600;38.630.704.142.782.800;1;22.941.574.244.288.300;6.960.423.728.989.230;6.697.843.368.752.550;;;;
10.106.308.455.826.500;15.649.270.143.431.300;3;20.131.658.515.797.400;570.959.381.584.005;28.666.998.415.163.100;;;;
4.661.121.282.253.530;26.407.010.045.956.000;2;13.059.726.643.657.000;14.256.609.843.512.500;50.454.502.708.218.700;;;;
44.480.270.902.144.100;3.748.503.990.387.060;4;1.647.929.314.440.310;7.918.142.725.199.480;6.319.466.318.109.250;;;;
16.607.373.247.182.000;6.792.859.935.655.130;4;9.359.520.609.792.550;11.758.085.299.299.700;200.00.00;;;;
34.699.282.071.538.000;3.767.745.402.774.860;1;14.475.012.607.060.800;11.188.919.495.029.300;5.371.108.472.288.000;;;;
4.177.499.900.905.470;28.451.771.725.130.000;5;15.200.179.469.482.300;21.758.283.319.290.200;4.992.974.502.902.450;;;;
29.984.036.521.975.800;550.997.118.689.136;2;11.617.118.135.342.800;11.171.990.882.451.300;22.380.128.393.692.700;;;;
2.883.427.602.602.020;141.356.519.770.322;3;27.197.166.320.164.800;11.755.361.282.515.100;200.00.00;;;;
15.883.353.090.520.300;2.920.236.727.987.540;4;0.4818559494301844;1.527.760.594.472.750;4.905.617.924.109.750;;;;
9.189.624.551.265.460;5.491.972.254.344.550;4;23.465.137.892.737.300;3.507.341.072.855.270;200.00.00;;;;
453.747.091.078.997;24.540.307.026.522.100;2;37.314.849.372.397.200;10.750.478.591.378.700;5.849.697.638.031.390;;;;
45.518.812.572.349.800;157.976.731.072.594;5;23.926.420.816.115.900;4.694.505.244.202.080;3.460.015.255.791.710;;;;
3.348.956.557.729.700;25.973.874.157.396.600;4;18.477.357.470.301.600;2.770.726.271.691.190;38.827.744.831.809.700;;;;
2.025.634.059.719.150;4.692.455.251.062.970;2;2.529.834.272.809.200;8.799.420.087.150.530;200.00.00;;;;
2.071.443.085.756.970;35.246.861.827.637.900;1;29.254.297.692.269.200;41.033.963.136.920.800;5.730.402.379.466.020;;;;
37.668.005.549.160.700;39.019.091.859.563.600;5;16.769.419.022.993.200;5.213.857.585.654.050;7.942.736.445.509.060;;;;
4.536.996.169.786.590;38.848.480.645.570.500;3;15.032.636.407.865.900;7.033.537.017.520.530;8.387.709.169.149.370;;;;
44.918.889.091.930.200;3.073.711.777.448.820;4;2.118.579.548.890.070;5.928.379.614.120.720;6.044.045.292.163.740;;;;
4.009.439.956.359.300;7.813.190.884.833.380;2;16.028.716.556.810.200;26.642.346.507.129.800;31.719.798.613.244.100;;;;
3.389.142.407.694.290;3.105.573.824.937.380;1;16.222.037.013.993.100;27.084.086.523.343.400;33.861.835.043.566.400;;;;
8.786.298.424.777.190;3.909.715.908.975.650;3;12.887.878.307.281.900;4.671.738.889.449.190;200.00.00;;;;
12.273.292.134.257.600;3.818.571.406.572.890;2;9.265.032.720.220.220;19.606.245.712.312.400;200.00.00;;;;
45.434.938.483.718.500;14.973.578.108.533.000;2;14.467.930.837.565.700;12.902.683.373.861.600;37.077.780.493.898.200;;;;
32.289.307.684.681.500;21.079.798.044.972.600;3;35.547.707.630.520.100;6.459.207.613.669.130;4.973.178.278.461.630;;;;
5.413.867.322.748.330;3.150.507.445.888.830;1;28.845.400.169.492.500;6.315.173.387.612.340;200.00.00;;;;
9.566.219.428.971.440;2.828.192.893.444.060;1;2.143.232.290.879.790;73.079.675.905.175.300;2.221.276.517.968.340;;;;
3.485.757.960.986.250;19.498.400.135.939.600;5;28.574.013.500.635.400;13.593.129.209.984.700;2.711.941.854.672.520;;;;
52.277.712.730.798.400;1.312.418.665.242.160;4;6.801.821.469.898.890;1.754.204.374.818.630;200.00.00;;;;
1.223.636.231.378.740;3.989.360.650.583.530;3;26.380.230.605.295.800;1.542.265.171.855.710;200.00.00;;;;
29.693.020.521.496.300;18.768.708.182.730.900;3;24.263.699.536.906.100;14.823.055.374.276.800;200.00.00;;;;
36.135.283.896.171.100;19.701.319.900.197.900;3;2.031.457.237.373.020;10.203.432.526.416.100;200.00.00;;;;
3.433.825.667.761.700;905.408.138.409.176;1;18.750.875.582.556.100;14.182.305.582.380.800;200.00.00;;;;
1.509.211.892.572.510;3.240.795.330.374.730;4;9.496.489.958.036.090;1.150.248.499.263.800;42.690.706.948.171.100;;;;
3.704.806.496.063.910;2.866.624.235.391.500;5;2.449.232.354.895.090;5.108.760.035.544.040;34.827.244.962.380.500;;;;
15.676.208.937.356.000;11.168.475.673.184.100;2;15.045.463.844.392.000;4.963.178.987.079.960;200.00.00;;;;
1.964.298.641.716.700;60.480.986.877.861.700;2;2.126.747.276.738.560;6.631.448.130.630.380;2.263.511.377.256.180;;;;
3.859.211.323.031.100;2.817.847.417.676.430;3;93.858.948.256.539;18.305.250.748.426.400;30.255.490.792.613.900;;;;
3.423.348.045.712.460;27.216.914.928.402;4;2.805.891.295.635.980;11.400.881.967.214.700;2.121.682.147.862.100;;;;
